Unique Key,Incident Zip,Complaint Type,Descriptor
34057077,10020,Food Establishment,Dishwashing/Utensils
34057113,11104,Food Poisoning,1 or 2
34057299,10027,Food Establishment,Rodents/Insects/Garbage
34057325,10017,Food Establishment,Bare Hands in Contact w/ Food
34057330,11385,Food Establishment,Bare Hands in Contact w/ Food
34057891,10457,Food Establishment,Food Spoiled
34058088,10312,Food Establishment,Food Worker Activity
34058212,10023,Food Poisoning,1 or 2
34058334,10037,Food Establishment,Rodents/Insects/Garbage
34058416,10460,Food Establishment,Food Worker Hygiene
34059177,10003,Food Poisoning,1 or 2
34059400,10465,Food Establishment,Lighting
34059410,11423,Food Establishment,Rodents/Insects/Garbage
34059807,10465,Food Establishment,Food Temperature
34060036,11357,Food Establishment,Odor
34060264,10017,Food Establishment,Letter Grading
34060269,11372,Food Poisoning,1 or 2
34060314,11217,Food Establishment,Dishwashing/Utensils
34060315,10019,Food Poisoning,1 or 2
34060809,11230,Food Poisoning,3 or More
34060867,10019,Food Establishment,Letter Grading
34060913,10014,Food Establishment,Dishwashing/Utensils
34061004,10019,Food Establishment,Food Spoiled
34061638,10003,Food Establishment,Food Spoiled
34061925,11206,Food Establishment,Food Contaminated
34062031,10462,Food Establishment,Food Spoiled
34062402,10044,Food Poisoning,1 or 2
34063125,10018,Food Establishment,Food Contains Foreign Object
34063612,11206,Food Establishment,Rodents/Insects/Garbage
34063719,10017,Food Establishment,Bare Hands in Contact w/ Food
34064041,10014,Food Establishment,Kitchen/Food Prep Area
34064140,10034,Food Establishment,Ventilation
34064469,10022,Food Establishment,Food Worker Hygiene
34064470,11201,Food Poisoning,1 or 2
34064471,10018,Food Poisoning,1 or 2
34064660,10314,Food Establishment,Rodents/Insects/Garbage
34064661,10009,Food Establishment,Rodents/Insects/Garbage
34064667,10018,Food Establishment,Rodents/Insects/Garbage
34065549,11226,Food Poisoning,1 or 2
34065733,11691,Food Establishment,Rodents/Insects/Garbage
34065749,10038,Food Establishment,Food Contaminated
34065794,11209,Food Establishment,Pesticide
34066025,10012,Food Poisoning,3 or More
34066152,11418,Food Establishment,Kitchen/Food Prep Area
34066225,10471,Food Establishment,Toilet Facility
34066533,11372,Food Establishment,Toilet Facility
34066637,11416,Trans Fat,
34066638,10001,Food Poisoning,1 or 2
34066757,10033,Food Establishment,Rodents/Insects/Garbage
34066932,10018,Food Establishment,Food Preparation Location
34067207,10314,Food Establishment,Odor
34067436,10019,Food Poisoning,1 or 2
34067494,11375,Food Establishment,Food Spoiled
34067847,10460,Food Establishment,Rodents/Insects/Garbage
34068168,10463,Food Establishment,Bare Hands in Contact w/ Food
34068520,10023,Food Poisoning,1 or 2
34068542,11421,Food Establishment,Food Spoiled
34068906,10030,Food Establishment,Food Spoiled
34069270,10013,Food Establishment,Kitchen/Food Prep Area
34069291,10016,Food Establishment,Rodents/Insects/Garbage
34069296,11432,Food Poisoning,1 or 2
34069379,11222,Food Establishment,Rodents/Insects/Garbage
34069484,10036,Food Establishment,Rodents/Insects/Garbage
34069508,11213,Food Establishment,Food Contaminated
34069536,10028,Food Establishment,Rodents/Insects/Garbage
34069628,11206,Food Establishment,Food Worker Hygiene
34069632,10003,Food Poisoning,1 or 2
34069706,11373,Food Establishment,Food Spoiled
34070324,11355,Food Establishment,Rodents/Insects/Garbage
34070582,11433,Food Establishment,Rodents/Insects/Garbage
34101500,11206,Food Establishment,Kitchen/Food Prep Area
34070773,10036,Food Establishment,Ventilation
34071295,11375,Food Establishment,Food Worker Hygiene
34071385,11375,Food Poisoning,1 or 2
34071758,11219,Food Establishment,Bare Hands in Contact w/ Food
34071940,10002,Smoking,Smoking Violation
34072041,10016,Food Establishment,Rodents/Insects/Garbage
34073884,10003,Food Establishment,Pet/Animal
34073909,11225,Food Establishment,Food Spoiled
34073996,10012,Food Poisoning,1 or 2
34074531,11355,Smoking,Smoking Violation
34074585,11206,Food Establishment,Food Worker Hygiene
34074592,10025,Food Establishment,Letter Grading
34074868,10003,Food Establishment,Food Worker Hygiene
34075013,10304,Food Establishment,Odor
34075368,11218,Food Poisoning,1 or 2
34075686,10039,Food Establishment,Food Worker Hygiene
34076238,10027.0,Food Establishment,Food Protection
34076441,10036.0,Food Establishment,Rodents/Insects/Garbage
34076588,11215.0,Food Establishment,Rodents/Insects/Garbage
34076595,11212.0,Food Poisoning,1 or 2
34076729,10280.0,Food Establishment,Rodents/Insects/Garbage
34077490,11225.0,Food Poisoning,1 or 2
34078711,11208.0,Food Establishment,Food Temperature
34078740,10032.0,Food Establishment,Toilet Facility
34078762,10452.0,Food Establishment,Odor
34079018,10459.0,Food Establishment,Rodents/Insects/Garbage
34079606,10018.0,Food Establishment,Kitchen/Food Prep Area
34079660,11208.0,Food Establishment,Kitchen/Food Prep Area
34079851,11220.0,Food Establishment,Sewage
34079905,10461.0,Food Poisoning,1 or 2
34079969,10016.0,Food Establishment,Rodents/Insects/Garbage
34080532,11432.0,Food Establishment,Rodents/Insects/Garbage
34080555,11222.0,Food Poisoning,1 or 2
34081824,10031.0,Food Establishment,Food Contaminated
34082019,10457.0,Food Establishment,Rodents/Insects/Garbage
34082656,10011.0,Food Establishment,Toilet Facility
34082664,10013.0,Food Establishment,Kitchen/Food Prep Area
34082733,11208.0,Food Establishment,Food Worker Hygiene
34082794,11237.0,Food Establishment,Odor
34082796,11365.0,Food Establishment,Food Spoiled
34083028,11229.0,Food Establishment,Letter Grading
34083166,11217.0,Food Establishment,Food Temperature
34083521,11229.0,Food Establishment,Food Contains Foreign Object
34083523,10003.0,Food Establishment,Food Spoiled
34084220,10025.0,Food Establishment,Toilet Facility
34084283,10012.0,Food Establishment,Food Spoiled
34084507,11375.0,Food Poisoning,1 or 2
34084541,11234.0,Food Poisoning,1 or 2
34084629,11374.0,Food Establishment,Rodents/Insects/Garbage
34084636,10453.0,Food Establishment,Bare Hands in Contact w/ Food
34084919,11435.0,Food Establishment,Kitchen/Food Prep Area
34084926,10001.0,Food Establishment,Food Contaminated
34084927,11369.0,Food Establishment,Rodents/Insects/Garbage
34085277,11219.0,Food Poisoning,1 or 2
34085398,10019.0,Smoking,Smoking Violation
34085743,11233.0,Food Establishment,Food Contains Foreign Object
34086126,11218.0,Food Establishment,Permit/License/Certificate
34086804,11201.0,Food Establishment,Bare Hands in Contact w/ Food
34087136,11224.0,Food Establishment,Toilet Facility
34087903,11221.0,Food Establishment,Food Contains Foreign Object
34087904,11379.0,Food Establishment,Food Spoiled
34087914,10034.0,Food Establishment,Food Spoiled
34088120,10013.0,Food Poisoning,1 or 2
34088680,11418.0,Food Establishment,Food Contains Foreign Object
34088759,10022.0,Food Establishment,Plumbing
34088932,10014.0,Food Establishment,Rodents/Insects/Garbage
34088952,11219.0,Food Poisoning,1 or 2
34089063,10040.0,Food Establishment,Rodents/Insects/Garbage
34089069,11222.0,Food Establishment,Rodents/Insects/Garbage
