Zipcode,IncomePerCapita,PopOver25,LessThanHS,HighSchool,SomeCollege,Bachelor,Master,Doctorate,ProfSchool
10001,77512,16328,1389,1665,2075,6061,3412,519,1207
10002,26905,60932,21170,12718,8532,12721,4001,641,1149
10003,79088,41182,1499,2810,4516,17958,9094,1626,3679
10004,98020,2279,29,87,305,984,550,86,238
10005,99633,5954,133,103,454,2745,1637,219,663
10006,97226,2334,10,125,245,1124,524,87,219
10007,173257,5132,325,347,417,1915,1224,262,642
10009,44714,47212,7035,6032,6219,17162,7312,1207,2245
10010,81938,23829,874,1756,3208,9567,5154,684,2586
10011,111064,43938,1953,3019,5023,17407,10406,1787,4343
10012,77712,19689,1207,1470,1765,8209,3759,1646,1633
10013,96781,19718,3606,1834,1867,6916,3714,444,1337
10014,107342,27517,361,1822,2784,13211,5589,1047,2703
10016,87576,39350,1553,2986,4466,16650,7871,946,4878
10017,104324,13629,299,748,1553,6006,3397,497,1129
10018,76632,6168,440,493,753,2573,1391,76,442
10019,86447,33629,2315,3273,4298,12457,7323,1062,2901
10020,,0,0,0,0,0,0,0,0
10021,115478,34715,1055,2090,3680,14046,7919,1875,4050
10022,132596,25422,448,1339,3057,10926,5253,1092,3307
10023,99916,49091,1366,3048,4881,16270,14600,2511,6415
10024,97669,47075,2244,3230,5059,15878,12051,2612,6001
10025,56151,72792,6999,6952,9814,21791,17296,4222,5718
10026,30904,26162,4713,6152,4639,5750,3538,540,830
10027,27977,39820,7393,8298,6649,7972,6113,2071,1324
10028,111660,37552,776,2375,4091,15167,9066,1343,4734
10029,25577,51738,13242,13733,8944,9570,3672,813,1764
10030,23064,20042,4760,5370,4403,3531,1522,171,285
10031,22954,40463,11353,8440,8400,7278,3746,427,819
10032,19137,41132,13913,7782,7909,7688,2761,440,639
10033,23976,42361,12413,7961,8198,7897,3706,1062,1124
10034,22776,29772,8700,6026,5997,5376,2926,358,389
10035,19691,23450,7886,5227,4817,3399,1543,213,365
10036,72435,20141,1169,2009,3239,7747,4261,438,1278
10037,25736,12875,1754,3048,3646,2503,1322,90,512
10038,59309,15347,2803,1723,1801,5322,2292,344,1062
10039,20185,16422,3726,4063,4333,2718,1262,168,152
10040,24468,32288,8936,5939,6468,6564,3243,524,614
10044,46709,9281,1114,1399,1174,1955,1873,1127,639
10065,113444,25843,326,1878,2905,10162,5542,1586,3444
10069,118923,4490,0,167,341,1921,1194,173,694
10075,113485,20566,457,1243,2380,8730,4652,988,2116
10103,,0,0,0,0,0,0,0,0
10110,,1,0,0,0,0,0,1,0
10111,,0,0,0,0,0,0,0,0
10112,,0,0,0,0,0,0,0,0
10115,,0,0,0,0,0,0,0,0
10119,,0,0,0,0,0,0,0,0
10128,91988,48763,2234,3045,4868,19531,11008,2232,5845
10152,,0,0,0,0,0,0,0,0
10153,,0,0,0,0,0,0,0,0
10154,,0,0,0,0,0,0,0,0
10165,,0,0,0,0,0,0,0,0
10167,,0,0,0,0,0,0,0,0
10168,,0,0,0,0,0,0,0,0
10169,,0,0,0,0,0,0,0,0
10170,,0,0,0,0,0,0,0,0
10171,,0,0,0,0,0,0,0,0
10172,,0,0,0,0,0,0,0,0
10173,,0,0,0,0,0,0,0,0
10174,,0,0,0,0,0,0,0,0
10177,,0,0,0,0,0,0,0,0
10271,,0,0,0,0,0,0,0,0
10278,,0,0,0,0,0,0,0,0
10279,,0,0,0,0,0,0,0,0
10280,90980,6745,131,255,766,2824,1726,378,665
10282,138381,4088,67,199,263,1740,1168,161,490
10301,28054,24744,3709,6709,6400,4513,2435,270,708
10302,23165,11646,1924,3993,3207,1776,545,81,120
10303,22593,15053,2679,5065,3898,2280,945,105,81
10304,27811,26912,4970,7930,6155,4646,2065,264,882
10305,30178,29312,3973,8831,7023,5818,2854,273,540
10306,35187,38754,3615,12704,10605,7058,3528,388,856
10307,34894,9576,637,2840,2719,1921,1143,43,273
10308,36756,21471,2017,7980,5178,3749,2161,27,359
10309,37508,22596,2194,6932,6172,4398,2196,210,494
10310,27220,15316,2028,4737,4286,2465,1315,92,393
10312,36127,42622,3480,14005,11055,9149,3952,283,698
10314,33822,62045,6408,20277,15817,11698,6100,568,1177
10451,15672,28860,10627,7232,6547,2887,1162,194,211
10452,12942,43484,15763,12016,10761,3554,1028,69,293
10453,12459,46912,15619,14248,11512,3600,1384,141,408
10454,11429,21423,9192,5953,4336,1465,307,72,98
10455,12442,23455,10174,6495,4597,1662,420,41,66
10456,12157,52775,21485,13607,11947,4415,1042,63,216
10457,12768,40192,15074,10839,9340,3205,1263,113,358
10458,14046,44076,15533,12452,10758,3665,1260,154,254
10459,12616,27149,11114,7066,6038,2129,582,114,106
10460,12795,34370,13955,9260,7578,2814,601,42,120
10461,27484,36956,7327,10950,9047,5980,2415,558,679
10462,22296,50758,11678,13569,13297,7762,3366,394,692
10463,31572,49579,9402,9944,11697,9331,6171,1312,1722
10464,43196,3384,155,872,937,643,634,67,76
10465,30235,31086,5757,10033,8197,4472,2051,302,274
10466,19944,44215,9237,14616,10941,6758,2412,74,177
10467,18103,62241,16511,18234,15931,7843,2729,386,607
10468,15710,44811,14560,12672,10225,5138,1671,129,416
10469,23044,47982,9482,13674,13178,7318,3487,362,481
10470,28926,10351,1663,3231,2382,1852,966,88,169
10471,41945,15367,1339,2771,2921,4035,2532,692,1077
10472,14970,42835,17250,11810,8786,3761,1025,36,167
10473,19760,38889,9891,11763,10615,4732,1647,41,200
10474,11609,7193,2573,2015,1832,611,140,0,22
10475,26215,33227,5206,9066,10595,5224,2835,44,257
11001,40788,19022,1362,4847,4800,4569,2537,220,687
11004,36326,10181,1044,2928,2060,2324,1226,94,505
11005,70320,2123,60,376,646,512,323,41,165
11040,39228,28785,2678,6406,6666,7253,4117,518,1147
11101,34276,18491,3601,3988,3523,4513,2141,241,484
11102,28118,25246,5056,5335,4568,7099,2319,211,658
11103,32578,29780,4439,6276,5874,8783,3619,303,486
