tz,population,male,female,age_under_14,age_15_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor,graduate,median_income_households,median_income_families,median_income_nonfamily,mean_income_households,mean_income_families,mean_income_nonfamily,percent_below_poverty,unemployment_rate,percent_uninsured,mean_price_per_sqft,median_price_per_sqft,citibike_spatial,mobile-device_spatial,sr311_spatial,subway_spatial,taxi_spatial,twitter_spatial
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,383102,0,0,95418,1546
2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,6348,0,0,73,44
3,32450,15235,17215,16.35185641,20.03341,34.41950874,29.19522485,31.95993837,35.18952234,8.311248074,21.49460709,3.044684129,20.7484586,26.07117771,28.83009444,14.75454616,9.595723094,58999.68659,68423.31443,31895.21299,78914.24493,86548.96324,42915.01299,13.46737134,10.04511556,8.402711864,318.6917868,315.1041667,0,109300,700,225527.5,31960,480
4,27571,12546,15025,12.03267462,24.91056304,38.00778519,25.04897715,40.20166117,13.77897066,14.18519459,27.41648834,4.417685249,21.63792735,21.19721022,20.14890249,27.56835394,9.447606007,43150.42329,45648.73956,44695.58889,67117.32603,71106.79636,63049.39407,31.59088898,9.031957492,8.955406043,,,31545,179644,399,0,178515,85
5,26482,13082,13400,18.40016589,17.31689434,36.13318257,28.14975719,89.06427007,1.771014274,6.532739219,1.291443244,1.340533192,7.779129166,30.06081245,30.16784237,21.50328387,10.48893213,87056.58911,95815.28951,30256.87243,101280.5935,109982.1953,59388.70938,6.945072124,5.503406087,3.673850162,289.5525911,276.1627907,0,56271,490,0,3667,40
6,15896,7362,8534,18.70913495,19.24445097,33.42263241,28.62378166,74.06894816,6.831907398,12.83341721,4.497986915,1.767740312,11.69210783,26.41279636,25.94186424,21.92270218,14.03052939,73153.69712,83524.10317,36179.0533,87520.10072,97957.84669,52072.9547,12.47815174,7.954321842,7.727484902,374.5130766,357.3214286,0,147674,255,0,7456,88
7,77252,37588,39664,10.91525689,25.50872426,41.76588844,21.81013041,64.90187956,5.00699011,16.78920934,9.86770569,3.434215295,14.68229854,19.17028561,19.69348886,30.9623679,15.49155909,60065.40769,64176.53591,56695.89673,76137.93562,80829.94899,70406.80532,14.81164759,7.161387407,14.30628074,496.8037012,501.8382353,0,508255,1389,3336898,362180,2294
8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,25315,6,0,2900,124
9,20609,10181,10428,16.025799,16.58622389,35.04453613,32.34344098,43.78669513,1.344072978,46.66893105,3.741083992,4.459216847,13.68540263,24.61703523,25.42170829,21.7500149,14.52583895,77457.43736,83156.01281,49445.13505,92044.95012,101447.0196,58063.06568,6.281673055,6.137391431,10.18967441,547.856526,548.4969054,0,159111,377,0,16753,123
10,39079,18449,20630,19.3281773,23.28697077,35.31188578,22.07296615,5.066659843,73.78899153,5.504235011,12.89695233,2.743161289,16.86751021,34.42123586,33.06888934,10.71835041,4.924014193,61966.78316,67835.47714,31399.63703,74778.57843,79173.67819,48251.37198,14.0020804,10.614962,10.49557563,304.2321582,300.7463102,0,321007,863,0,52272,267
11,33163,16686,16477,17.94820482,18.79697537,36.24401611,27.0108037,51.34939541,1.64942858,36.45629165,9.064318668,1.480565691,21.92248657,25.70606293,19.7390637,22.40982348,10.22256332,60655.59372,69765.8282,26299,75950.31939,85668.2733,46347.87581,14.34505624,6.961188674,10.62125863,532.2065877,528.7054639,0,241014,605,307178.5,22630,44
12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6324,31881,26,0,26225,112
13,15935,8054,7881,22.23019157,12.02998323,51.33192443,14.40790077,74.15123941,1.468465642,19.25949168,1.725760904,3.39504236,1.115518096,3.801024624,9.552140142,43.42257478,42.10874236,169898.95,232943.2145,119024.7728,239887.367,296387.3011,173246.9469,5.30215877,3.374659554,3.418864136,,,86660,159019,157,0,360070,119
14,79134,37829,41305,16.49103917,18.61054909,37.05855656,27.83985518,71.92736371,2.172264766,14.6169788,8.110293932,3.173098794,13.55116831,19.53486193,22.36817443,27.07266025,17.47313507,62743.19366,79156.49876,47205.39678,86318.90973,104330.2013,61292.01787,15.54544191,7.439400258,8.779915081,545.6885079,546.9417735,0,570900,1909,2017773,128208,744
15,21945,10199,11746,13.05888361,12.8747731,33.61744052,40.44890277,68.7309182,1.594896332,22.22829802,5.181134655,2.264752791,9.189102047,22.58584556,23.3865334,26.04116288,18.79735612,75197.80067,94019.33322,51700.97119,92041.18999,108463.0529,66759.24897,7.104875826,6.113119162,3.847391205,543.4372887,537.8787879,0,139605,201,0,17753,405
16,44864,21722,23142,15.01098612,17.5211203,35.5061948,31.96169878,49.11064551,1.763106277,42.19864479,4.384361626,2.543241797,10.70490368,22.19242557,26.35726795,25.08756567,15.65783713,81898.69661,88119.97061,55718.88559,97748.67785,107125.1571,68426.16828,7.322363142,6.023687143,9.090096737,541.4923872,541.3812785,0,458862,726,0,43775,542
17,75318,36491,38827,25.81600218,26.2739405,32.0485637,15.86149361,41.39116811,44.63474867,3.094877718,7.992777291,2.886428211,20.54817809,26.35108332,22.94149871,20.22705378,9.932186101,42492.02897,46805.29635,36938.22103,62615.93545,68176.38714,52358.77845,34.35060012,12.24396426,8.902814732,521.7375185,514.8148148,30974,311910,1735,1688664,262720,2624
18,55995,26934,29061,22.63692385,24.5735918,34.45251851,18.33696584,15.17992678,19.84462898,4.08429324,56.12643986,4.764711135,30.99368123,29.67137525,26.35829125,9.802629974,3.174022299,33968.90126,35783.42495,25340.83806,46891.87136,48826.58158,38376.47088,33.49203679,14.89155817,14.46429503,188.4087844,163.8602724,0,480999,1499,1808960,69682,460
19,26916,13117,13799,18.01039419,20.78295676,32.76614985,28.4404992,38.80962996,7.047852578,41.84128399,9.113538416,3.187695051,11.10901724,30.38726091,26.77847922,19.66927353,12.05596909,70464.73889,87308.88445,37650.27438,87757.78589,99407.17429,48883.54631,11.61775895,5.650936246,8.516257988,407.5257734,402.2988506,0,126534,470,0,12754,55
