,Zip,Complain,Count
1,,Adopt-A-Basket,5
2,10001,Adopt-A-Basket,1
3,10003,Adopt-A-Basket,1
4,10009,Adopt-A-Basket,1
5,10010,Adopt-A-Basket,1
6,10011,Adopt-A-Basket,1
7,10012,Adopt-A-Basket,6
8,10016,Adopt-A-Basket,1
9,10027,Adopt-A-Basket,1
10,10029,Adopt-A-Basket,3
11,10035,Adopt-A-Basket,1
12,10039,Adopt-A-Basket,1
13,10303,Adopt-A-Basket,1
14,10304,Adopt-A-Basket,1
15,10307,Adopt-A-Basket,1
16,10310,Adopt-A-Basket,1
17,10451,Adopt-A-Basket,2
18,10452,Adopt-A-Basket,1
19,10454,Adopt-A-Basket,1
20,10461,Adopt-A-Basket,1
21,11004,Adopt-A-Basket,1
22,11203,Adopt-A-Basket,1
23,11206,Adopt-A-Basket,1
24,11207,Adopt-A-Basket,1
25,11209,Adopt-A-Basket,1
26,11211,Adopt-A-Basket,1
27,11214,Adopt-A-Basket,1
28,11225,Adopt-A-Basket,4
29,11375,Adopt-A-Basket,3
30,11385,Adopt-A-Basket,2
31,11420,Adopt-A-Basket,1
32,11432,Adopt-A-Basket,1
33,11693,Adopt-A-Basket,2
34,11694,Adopt-A-Basket,1
35,,Agency Issues,2957
36,,Air Quality,77
37,10000,Air Quality,1
38,10001,Air Quality,90
39,10002,Air Quality,80
40,10003,Air Quality,143
41,10004,Air Quality,15
42,10005,Air Quality,15
43,10006,Air Quality,13
44,10007,Air Quality,37
45,10009,Air Quality,99
46,10010,Air Quality,50
47,10011,Air Quality,150
48,10012,Air Quality,81
49,10013,Air Quality,113
50,10014,Air Quality,125
51,10016,Air Quality,105
52,10017,Air Quality,47
53,10018,Air Quality,42
54,10019,Air Quality,130
55,10021,Air Quality,87
56,10022,Air Quality,97
57,10023,Air Quality,99
58,10024,Air Quality,151
59,10025,Air Quality,211
60,10026,Air Quality,51
61,10027,Air Quality,87
62,10028,Air Quality,121
63,10029,Air Quality,68
64,10030,Air Quality,30
65,10031,Air Quality,57
66,10032,Air Quality,42
67,10033,Air Quality,45
68,10034,Air Quality,83
69,10035,Air Quality,58
70,10036,Air Quality,118
71,10037,Air Quality,5
72,10038,Air Quality,33
73,10039,Air Quality,8
74,10040,Air Quality,43
75,10044,Air Quality,4
76,10065,Air Quality,83
77,10069,Air Quality,3
78,10075,Air Quality,63
79,10119,Air Quality,1
80,10128,Air Quality,118
81,10129,Air Quality,1
82,10280,Air Quality,28
83,10281,Air Quality,1
84,10282,Air Quality,1
85,10301,Air Quality,26
86,10302,Air Quality,14
87,10303,Air Quality,8
88,10304,Air Quality,8
89,10305,Air Quality,21
90,10306,Air Quality,19
91,10307,Air Quality,6
92,10308,Air Quality,4
93,10309,Air Quality,4
94,10310,Air Quality,6
95,10312,Air Quality,10
96,10314,Air Quality,33
97,10451,Air Quality,18
98,10452,Air Quality,28
99,10453,Air Quality,42
100,10454,Air Quality,15
101,10455,Air Quality,12
102,10456,Air Quality,33
103,10457,Air Quality,37
104,10458,Air Quality,45
105,10459,Air Quality,10
106,10460,Air Quality,20
107,10461,Air Quality,10
108,10462,Air Quality,33
109,10463,Air Quality,65
110,10464,Air Quality,9
111,10465,Air Quality,13
112,10466,Air Quality,33
113,10467,Air Quality,35
114,10468,Air Quality,42
115,10469,Air Quality,18
116,10470,Air Quality,8
117,10471,Air Quality,9
118,10472,Air Quality,16
119,10473,Air Quality,12
120,10474,Air Quality,9
121,10475,Air Quality,6
122,11004,Air Quality,5
123,11040,Air Quality,2
124,11101,Air Quality,112
125,11102,Air Quality,25
126,11103,Air Quality,21
127,11104,Air Quality,17
128,11105,Air Quality,33
129,11106,Air Quality,44
130,11201,Air Quality,84
131,11203,Air Quality,19
132,11204,Air Quality,36
133,11205,Air Quality,53
134,11206,Air Quality,52
135,11207,Air Quality,34
136,11208,Air Quality,38
137,11209,Air Quality,48
138,11210,Air Quality,28
139,11211,Air Quality,84
140,11212,Air Quality,24
141,11213,Air Quality,26
142,11214,Air Quality,42
143,11215,Air Quality,99
144,11216,Air Quality,70
145,11217,Air Quality,61
146,11218,Air Quality,55
147,11219,Air Quality,28
148,11220,Air Quality,38
149,11221,Air Quality,57
150,11222,Air Quality,71
151,11223,Air Quality,30
152,11224,Air Quality,17
153,11225,Air Quality,24
154,11226,Air Quality,41
155,11228,Air Quality,12
156,11229,Air Quality,29
157,11230,Air Quality,54
158,11231,Air Quality,87
159,11232,Air Quality,20
160,11233,Air Quality,30
161,11234,Air Quality,35
162,11235,Air Quality,67
163,11236,Air Quality,18
164,11237,Air Quality,29
165,11238,Air Quality,89
166,11249,Air Quality,37
167,11354,Air Quality,36
168,11355,Air Quality,49
169,11356,Air Quality,108
170,11357,Air Quality,19
171,11358,Air Quality,20
172,11360,Air Quality,11
173,11361,Air Quality,12
174,11362,Air Quality,6
175,11363,Air Quality,4
176,11364,Air Quality,6
177,11365,Air Quality,3
178,11366,Air Quality,9
179,11367,Air Quality,9
180,11368,Air Quality,40
181,11369,Air Quality,7
182,11370,Air Quality,8
183,11372,Air Quality,29
184,11373,Air Quality,17
185,11374,Air Quality,18
186,11375,Air Quality,82
187,11377,Air Quality,47
188,11378,Air Quality,15
189,11379,Air Quality,8
190,11385,Air Quality,51
191,11411,Air Quality,53
192,11412,Air Quality,22
193,11413,Air Quality,14
194,11414,Air Quality,8
195,11415,Air Quality,7
196,11416,Air Quality,8
197,11417,Air Quality,13
198,11418,Air Quality,9
199,11419,Air Quality,15
200,11420,Air Quality,14
201,11421,Air Quality,4
202,11422,Air Quality,5
203,11423,Air Quality,9
204,11426,Air Quality,6
205,11427,Air Quality,8
206,11428,Air Quality,7
207,11429,Air Quality,6
208,11432,Air Quality,9
209,11433,Air Quality,14
210,11434,Air Quality,18
211,11435,Air Quality,23
212,11436,Air Quality,7
213,11691,Air Quality,6
214,11692,Air Quality,4
215,11693,Air Quality,8
216,11694,Air Quality,15
217,10028,Animal Abuse,1
218,10029,Animal Abuse,3
219,10310,Animal Abuse,1
220,10451,Animal Abuse,33
221,10452,Animal Abuse,34
222,10453,Animal Abuse,36
223,10454,Animal Abuse,26
224,10455,Animal Abuse,36
225,10456,Animal Abuse,47
226,10457,Animal Abuse,39
227,10458,Animal Abuse,42
228,10459,Animal Abuse,35
229,10460,Animal Abuse,52
230,10461,Animal Abuse,34
231,10462,Animal Abuse,37
232,10463,Animal Abuse,26
233,10464,Animal Abuse,2
234,10465,Animal Abuse,30
235,10466,Animal Abuse,32
236,10467,Animal Abuse,71
237,10468,Animal Abuse,23
238,10469,Animal Abuse,36
239,10470,Animal Abuse,6
240,10471,Animal Abuse,7
241,10472,Animal Abuse,44
242,10473,Animal Abuse,51
243,10474,Animal Abuse,10
244,10475,Animal Abuse,5
245,11106,Animal Abuse,1
246,10003,Animal Facility - No Permit,2
247,10021,Animal Facility - No Permit,1
248,10023,Animal Facility - No Permit,1
249,10024,Animal Facility - No Permit,2
250,10029,Animal Facility - No Permit,1
251,10031,Animal Facility - No Permit,1
252,10035,Animal Facility - No Permit,1
253,10038,Animal Facility - No Permit,1
254,10128,Animal Facility - No Permit,2
255,10301,Animal Facility - No Permit,1
256,10302,Animal Facility - No Permit,2
257,10303,Animal Facility - No Permit,1
258,10305,Animal Facility - No Permit,1
259,10306,Animal Facility - No Permit,2
260,10307,Animal Facility - No Permit,2
261,10312,Animal Facility - No Permit,1
262,10314,Animal Facility - No Permit,3
263,10455,Animal Facility - No Permit,1
264,10460,Animal Facility - No Permit,1
265,10469,Animal Facility - No Permit,1
266,10473,Animal Facility - No Permit,1
267,10475,Animal Facility - No Permit,1
268,11102,Animal Facility - No Permit,3
269,11207,Animal Facility - No Permit,1
270,11210,Animal Facility - No Permit,2
271,11214,Animal Facility - No Permit,1
272,11219,Animal Facility - No Permit,3
273,11222,Animal Facility - No Permit,1
274,11226,Animal Facility - No Permit,1
275,11228,Animal Facility - No Permit,4
276,11229,Animal Facility - No Permit,1
277,11234,Animal Facility - No Permit,3
278,11249,Animal Facility - No Permit,1
279,11354,Animal Facility - No Permit,1
280,11365,Animal Facility - No Permit,2
281,11369,Animal Facility - No Permit,1
282,11372,Animal Facility - No Permit,1
283,11433,Animal Facility - No Permit,1
284,11434,Animal Facility - No Permit,1
285,,Animal in a Park,36
286,10000,Animal in a Park,1
287,10001,Animal in a Park,1
288,10002,Animal in a Park,21
289,10003,Animal in a Park,44
290,10004,Animal in a Park,4
291,10005,Animal in a Park,4
292,10007,Animal in a Park,1
293,10009,Animal in a Park,7
294,10010,Animal in a Park,2
295,10011,Animal in a Park,11
296,10012,Animal in a Park,9
297,10013,Animal in a Park,3
298,10014,Animal in a Park,4
299,10016,Animal in a Park,2
300,10017,Animal in a Park,1
301,10018,Animal in a Park,1
302,10019,Animal in a Park,2
303,10021,Animal in a Park,125
304,10022,Animal in a Park,8
305,10023,Animal in a Park,41
306,10024,Animal in a Park,24
307,10025,Animal in a Park,15
308,10026,Animal in a Park,22
309,10027,Animal in a Park,24
310,10028,Animal in a Park,11
311,10029,Animal in a Park,8
312,10030,Animal in a Park,1
313,10031,Animal in a Park,3
314,10032,Animal in a Park,9
315,10033,Animal in a Park,33
316,10034,Animal in a Park,31
317,10035,Animal in a Park,4
318,10036,Animal in a Park,1
319,10037,Animal in a Park,1
320,10038,Animal in a Park,3
321,10039,Animal in a Park,10
322,10040,Animal in a Park,4
323,10069,Animal in a Park,2
324,10075,Animal in a Park,6
325,10128,Animal in a Park,8
326,10280,Animal in a Park,2
327,10282,Animal in a Park,1
328,10301,Animal in a Park,25
329,10302,Animal in a Park,2
330,10303,Animal in a Park,1
331,10304,Animal in a Park,4
332,10305,Animal in a Park,14
333,10306,Animal in a Park,12
334,10308,Animal in a Park,1
335,10309,Animal in a Park,14
336,10310,Animal in a Park,7
337,10312,Animal in a Park,8
338,10314,Animal in a Park,13
339,10451,Animal in a Park,4
340,10452,Animal in a Park,7
341,10453,Animal in a Park,3
342,10454,Animal in a Park,11
343,10455,Animal in a Park,2
344,10456,Animal in a Park,20
345,10457,Animal in a Park,11
