date,maxtemp,mintemp,avgtemp,precipitation,snowfall,latitude,longitude
1/1/11 0:00,51,38,44.5,0,0,40.84,-73.85
1/2/11 0:00,52,38,45,0.01,0,40.84,-73.85
1/3/11 0:00,38,29,33.5,0,0,40.84,-73.85
1/4/11 0:00,42,32,37,0,0,40.84,-73.85
1/5/11 0:00,40,32,36,0,0,40.84,-73.85
1/6/11 0:00,33,29,31,0,0,40.84,-73.85
1/7/11 0:00,36,29,32.5,0.2,2,40.84,-73.85
1/8/11 0:00,32,26,29,0.01,0.1,40.84,-73.85
1/9/11 0:00,34,28,31,0,0,40.84,-73.85
1/10/11 0:00,36,27,31.5,0,0,40.84,-73.85
1/11/11 0:00,31,25,28,0.22,2.7,40.84,-73.85
1/12/11 0:00,34,26,30,0.38,6.3,40.84,-73.85
1/13/11 0:00,31,20,25.5,0,0,40.84,-73.85
1/14/11 0:00,30,20,25,0,0,40.84,-73.85
1/15/11 0:00,39,25,32,0,0,40.84,-73.85
1/16/11 0:00,37,27,32,0,0,40.84,-73.85
1/17/11 0:00,27,22,24.5,0,0,40.84,-73.85
1/18/11 0:00,42,26,34,1,2.2,40.84,-73.85
1/19/11 0:00,42,36,39,0.07,0,40.84,-73.85
1/20/11 0:00,36,31,33.5,0,0,40.84,-73.85
1/21/11 0:00,34,20,27,0.37,4,40.84,-73.85
1/22/11 0:00,26,16,21,0,0,40.84,-73.85
1/23/11 0:00,26,13,19.5,0,0,40.84,-73.85
1/24/11 0:00,25,9,17,0,0,40.84,-73.85
1/25/11 0:00,37,25,31,0.07,1.5,40.84,-73.85
1/26/11 0:00,35,30,32.5,0.99,10.6,40.84,-73.85
1/27/11 0:00,38,31,34.5,0.58,6.2,40.84,-73.85
1/28/11 0:00,36,30,33,0.01,0.1,40.84,-73.85
1/29/11 0:00,37,30,33.5,0,0.1,40.84,-73.85
1/30/11 0:00,40,30,35,0,0,40.84,-73.85
1/31/11 0:00,32,25,28.5,0,0,40.84,-73.85
2/1/11 0:00,31,26,28.5,0.2,1,40.84,-73.85
2/2/11 0:00,39,27,33,0.72,0.7,40.84,-73.85
2/3/11 0:00,35,26,30.5,0,0,40.84,-73.85
2/4/11 0:00,35,25,30,0,0,40.84,-73.85
2/5/11 0:00,42,31,36.5,0.18,0,40.84,-73.85
2/6/11 0:00,45,38,41.5,0,0,40.84,-73.85
2/7/11 0:00,46,34,40,0.1,0,40.84,-73.85
2/8/11 0:00,41,21,31,0.14,0,40.84,-73.85
2/9/11 0:00,32,17,24.5,0,0,40.84,-73.85
2/10/11 0:00,30,24,27,0,0,40.84,-73.85
2/11/11 0:00,39,22,30.5,0,0,40.84,-73.85
2/12/11 0:00,41,29,35,0,0,40.84,-73.85
2/13/11 0:00,47,30,38.5,0,0,40.84,-73.85
2/14/11 0:00,58,39,48.5,0,0,40.84,-73.85
2/15/11 0:00,39,28,33.5,0,0,40.84,-73.85
2/16/11 0:00,47,28,37.5,0,0,40.84,-73.85
2/17/11 0:00,62,46,54,0,0,40.84,-73.85
2/18/11 0:00,67,43,55,0,0,40.84,-73.85
2/19/11 0:00,55,25,40,0,0,40.84,-73.85
2/20/11 0:00,40,23,31.5,0,0,40.84,-73.85
2/21/11 0:00,39,26,32.5,0.38,4.5,40.84,-73.85
2/22/11 0:00,35,19,27,0,0,40.84,-73.85
2/23/11 0:00,41,24,32.5,0,0,40.84,-73.85
2/24/11 0:00,44,27,35.5,0.02,0,40.84,-73.85
2/25/11 0:00,53,35,44,1.44,0,40.84,-73.85
2/26/11 0:00,43,32,37.5,0,0,40.84,-73.85
2/27/11 0:00,51,37,44,0,0,40.84,-73.85
2/28/11 0:00,60,41,50.5,0.46,0,40.84,-73.85
3/1/11 0:00,45,35,40,0,0,40.84,-73.85
3/2/11 0:00,55,27,41,0,0,40.84,-73.85
3/3/11 0:00,33,21,27,0,0,40.84,-73.85
3/4/11 0:00,43,28,35.5,0,0,40.84,-73.85
3/5/11 0:00,60,39,49.5,0.02,0,40.84,-73.85
3/6/11 0:00,56,49,52.5,2.33,0,40.84,-73.85
3/7/11 0:00,55,36,45.5,0.11,0,40.84,-73.85
3/8/11 0:00,48,31,39.5,0,0,40.84,-73.85
3/9/11 0:00,46,35,40.5,0.01,0,40.84,-73.85
3/10/11 0:00,54,39,46.5,1.49,0,40.84,-73.85
3/11/11 0:00,57,43,50,1.17,0,40.84,-73.85
3/12/11 0:00,57,40,48.5,0,0,40.84,-73.85
3/13/11 0:00,52,43,47.5,0,0,40.84,-73.85
3/14/11 0:00,46,40,43,0,0,40.84,-73.85
3/15/11 0:00,48,36,42,0,0,40.84,-73.85
3/16/11 0:00,56,39,47.5,0.46,0,40.84,-73.85
3/17/11 0:00,64,46,55,0,0,40.84,-73.85
3/18/11 0:00,77,52,64.5,0,0,40.84,-73.85
3/19/11 0:00,61,41,51,0,0,40.84,-73.85
3/20/11 0:00,49,36,42.5,0,0,40.84,-73.85
3/21/11 0:00,45,37,41,0.45,0,40.84,-73.85
3/22/11 0:00,51,42,46.5,0,0,40.84,-73.85
3/23/11 0:00,43,35,39,0.52,0.2,40.84,-73.85
3/24/11 0:00,45,32,38.5,0.1,1.1,40.84,-73.85
3/25/11 0:00,44,31,37.5,0,0,40.84,-73.85
